brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price
Mahindra,Manual,2020,Diesel,2184,11003,1st owner,1231000
Hyundai,Manual,2018,Petrol,1591,66936,1st owner,786000
Tata,Manual,2022,Diesel,1956,27990,1st owner,1489000
Honda,Automatic,2023,Petrol,1498,5061,1st owner,1227000
Ford,Manual,2021,Diesel,1498,23480,1st owner,887000
Honda,Manual,2021,Petrol,1199,44787,1st owner,796000
Tata,Manual,2022,Petrol,1199,450,1st owner,813000
Tata,Automatic,2020,Diesel,,59866,1st owner,728000
Mahindra,Automatic,2022,Diesel,2184,62567,1st owner,2322000
Ford,Automatic,2019,Petrol,1497,58503,1st owner,766000
Maruti,Manual,2018,Petrol,1197,58159,1st owner,471000
Hyundai,Manual,2023,Petrol,1197,15568,1st owner,689000
Tata,Manual,2023,Petrol,1199,6676,1st owner,536000
Hyundai,Manual,2018,Petrol,,59085,1st owner,823000
Maruti,Manual,2018,Petrol,998,52966,1st owner,310000
Hyundai,Manual,2020,Diesel,1582,60592,1st owner,993000
Maruti,Automatic,2014,Petrol,998,71297,1st owner,265000
Honda,Manual,2022,Petrol,1199,15935,1st owner,699000
KIA,Manual,2021,Diesel,1493,71040,1st owner,980000
Hyundai,Manual,2023,Petrol,1197,2850,1st owner,710000
MG,Automatic,2022,Petrol,1451,26999,1st owner,1652000
Tata,Manual,2023,Petrol,1199,12096,1st owner,590000
Honda,Automatic,2017,Petrol,1497,65434,2nd owner,787000
Hyundai,Manual,2020,Diesel,1493,48995,1st owner,1060000
Ford,Manual,2018,Petrol,1194,66584,1st owner,495000
Maruti,Manual,2020,Petrol,1462,24961,1st owner,878000
Maruti,Manual,2019,Petrol,1197,33972,1st owner,514000
Tata,Manual,2022,CNG,1199,22874,1st owner,684000
Maruti,Manual,2019,Petrol,1197,109938,1st owner,584000
Maruti,Manual,2019,Petrol,796,60452,1st owner,316000
Maruti,Automatic,2016,Petrol,998,32747,1st owner,394000
KIA,Automatic,2022,Diesel,1493,34694,1st owner,1654000
Maruti,Manual,2019,Petrol,1197,51244,1st owner,472000
Renault,Manual,2023,Petrol,999,6843,1st owner,636000
Ford,Automatic,2019,Petrol,1496,20751,1st owner,806000
Tata,Automatic,2023,Petrol,1199,16393,1st owner,668000
Honda,Automatic,2017,Petrol,1497,74671,1st owner,832000
Hyundai,Manual,2017,Petrol,1591,94020,1st owner,819000
Mahindra,Automatic,2021,Diesel,2179,25366,1st owner,1400000
Maruti,Manual,2020,CNG,998,75502,1st owner,432000
Tata,Manual,2022,Petrol,1199,22894,1st owner,941000
Tata,Manual,2020,Petrol,1199,42313,2nd owner,456000
Tata,Manual,2020,Petrol,1199,58047,1st owner,590000
Maruti,Manual,2018,Petrol,1462,76120,1st owner,721000
Hyundai,Manual,2017,Petrol,1197,60964,1st owner,449000
Tata,Manual,2023,Petrol,1199,17297,1st owner,574000
Renault,Manual,2020,Petrol,999,34646,1st owner,594000
Maruti,Automatic,2018,Petrol,1462,45254,2nd owner,687000
Maruti,Automatic,2022,Petrol,1462,24062,1st owner,1041000
Hyundai,Manual,2016,Petrol,1197,28221,1st owner,456000
Maruti,Manual,2022,Petrol,1462,43830,1st owner,1196000
Maruti,Automatic,2016,Petrol,998,21218,1st owner,375000
Hyundai,Manual,2020,CNG,1086,62996,1st owner,504000
Maruti,Automatic,2022,Petrol,1462,40395,2nd owner,1152000
Maruti,Automatic,2017,Petrol,1197,42752,1st owner,567000
Maruti,Manual,2019,Petrol,1462,59733,1st owner,751000
Maruti,Manual,2017,Petrol,1373,92389,1st owner,607000
Hyundai,Manual,2020,Petrol,998,36125,1st owner,864000
Maruti,Manual,2020,Petrol,1462,26202,1st owner,825000
Volkswagen,Manual,2022,Petrol,999,27653,1st owner,918000
Honda,Automatic,2016,Petrol,1497,61033,2nd owner,572000
KIA,Manual,2023,Petrol,1197,7907,1st owner,898000
MG,Manual,2020,Petrol,1451,26793,1st owner,1135000
Volkswagen,Automatic,2023,Petrol,999,9083,1st owner,1383000
Tata,Manual,2018,Petrol,1199,50015,2nd owner,371000
Nissan,Manual,2022,Petrol,999,22517,1st owner,562000
Skoda,Automatic,2017,Petrol,1598,100001,2nd owner,546000
Maruti,Manual,2023,Petrol,1197,14887,1st owner,638000
Honda,Manual,2020,Petrol,1199,48004,2nd owner,493000
Maruti,Manual,2012,Petrol,1373,52706,2nd owner,330000
Toyota,Manual,2020,Petrol,1496,37628,1st owner,803000
Datsun,Manual,2018,CNG,1198,23055,2nd owner,331000
Maruti,Manual,2023,Petrol,998,14943,1st owner,445000
Nissan,Manual,2022,Petrol,999,20338,1st owner,548000
Hyundai,Automatic,2024,Petrol,,3295,1st owner,974000
Mahindra,Manual,2020,Petrol,1198,19376,1st owner,474000
Nissan,Manual,2022,Petrol,999,31760,1st owner,556000
Mahindra,Manual,2021,Petrol,1997,37303,1st owner,1473000
Maruti,Manual,2022,Petrol,1197,25782,1st owner,657000
Hyundai,Manual,2022,Petrol,1197,25523,1st owner,909000
Hyundai,Manual,2022,Petrol,1497,19352,1st owner,1103000
Honda,Manual,2021,Petrol,1498,28398,1st owner,1078000
Maruti,Manual,2017,Petrol,1197,22148,1st owner,467000
Hyundai,Manual,2013,Petrol,1591,75331,1st owner,378000
Honda,Manual,2020,Petrol,1199,52036,1st owner,573000
Maruti,Manual,2022,Petrol,1197,24626,1st owner,757000
Maruti,Automatic,2019,Diesel,1248,86677,1st owner,632000
Nissan,Manual,2022,Petrol,999,18222,1st owner,614000
Honda,Manual,2021,Petrol,1498,5404,1st owner,1251000
Maruti,Manual,2020,Petrol,1197,72471,2nd owner,572000
Renault,Automatic,2017,Petrol,999,47819,2nd owner,292000
Volkswagen,Manual,2018,Petrol,999,40904,1st owner,471000
Maruti,Manual,2022,Petrol,998,12708,1st owner,494000
Nissan,Manual,2022,Petrol,999,36341,1st owner,551000
Maruti,Manual,2022,Petrol,1197,17745,1st owner,525000
Nissan,Manual,2021,Petrol,999,30455,1st owner,522000
Hyundai,Manual,2018,Petrol,1197,40398,1st owner,396000
Maruti,Manual,2017,Petrol,998,60446,1st owner,350000
Renault,Manual,2016,Petrol,999,20709,1st owner,262000
Honda,Manual,2017,Petrol,1497,78608,1st owner,578000
Datsun,Manual,2018,Petrol,799,84695,1st owner,207000
Maruti,Manual,2018,CNG,998,56257,1st owner,367000
Maruti,Manual,2018,Petrol,1197,27356,2nd owner,569000
